"date","prec","tmin","tmax","bullet","color","um"
"Mer 1","9","13.2","22.5","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Gio 2","6","13.7","23.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Ven 3","0","11.7","22.3","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 4","0","9.9","22.4","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Dom 5","11","10.6","22.6","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Lun 6","18","13.8","19.0","https://www.3bmeteo.com/images/set_icone/9/4.png","#1461A1","mm"
"Mar 7","8","10.4","23.7","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mer 8","0","10.9","23.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 9","0","12.7","25.3","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 10","28","13.8","19.1","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 11","4","10.4","23.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 12","0","10.4","22.6","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Lun 13","0","9.7","22.4","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Mar 14","0","10.4","23.3","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mer 15","10","12.0","21.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Gio 16","80","12.0","15.3","https://www.3bmeteo.com/images/set_icone/9/63.png","#1461A1","mm"
"Ven 17","28","12.3","20.2","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 18","8","10.0","19.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 19","29","11.6","18.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Lun 20","0","9.4","18.3","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Mar 21","7","9.8","19.3","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Mer 22","3","7.8","22.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Gio 23","3","11.4","23.4","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Ven 24","60.1","7.0","14.4","https://www.3bmeteo.com/images/set_icone/9/63.png","#1461A1","mm"
"Sab 25","11","7.8","13.0","https://www.3bmeteo.com/images/set_icone/9/4.png","#1461A1","mm"
"Dom 26","0","5.7","22.8","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Lun 27","0","8.2","22.3","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mar 28","14","10.6","20.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mer 29","30.1","11.6","18.2","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Gio 30","0","7.4","20.4","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Ven 31","0","7.3","20.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
