"date","prec","tmin","tmax","bullet","color","um"
"Mar 1","3","11.2","19.3","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Mer 2","13","11.0","14.1","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Gio 3","10","11.8","18.1","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Ven 4","15","14.0","21.1","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Sab 5","2","12.6","24.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 6","2","13.0","27.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 7","5","15.5","24.1","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Mar 8","15.1","13.5","26.2","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mer 9","5","13.0","22.3","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Gio 10","2","12.7","24.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Ven 11","11","12.8","24.5","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 12","3","13.6","26.3","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Dom 13","10","13.0","22.1","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Lun 14","9","10.0","18.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 15","4","10.7","17.0","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Mer 16","18","9.5","22.8","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Gio 17","4","10.1","20.1","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Ven 18","0","11.5","24.2","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 19","3","12.6","23.1","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Dom 20","17","13.4","22.2","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Lun 21","11","13.0","24.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mar 22","8","15.7","19.0","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Mer 23","1","14.1","24.0","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Gio 24","0","12.6","27.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 25","0","15.0","29.1","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Sab 26","0","15.1","29.1","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Dom 27","3","16.6","28.2","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Lun 28","33.1","15.4","26.1","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mar 29","15.1","15.7","26.0","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mer 30","17","16.4","25.0","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Gio 31","2","15.9","27.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
