"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","34","7.0","13.2","https://www.3bmeteo.com/images/set_icone/9/7.png","#1461A1","mm"
"Mar 2","6","4.5","19.0","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 3","6","8.8","16.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Gio 4","17","8.8","16.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Ven 5","0","5.1","21.6","https://www.3bmeteo.com/images/set_icone/9/41.png","#1461A1","mm"
"Sab 6","18","10.6","16.1","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Dom 7","1","9.7","17.0","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Lun 8","3","9.4","22.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 9","2","8.6","22.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 10","0","11.5","19.1","https://www.3bmeteo.com/images/set_icone/9/47.png","#1461A1","mm"
"Gio 11","6","10.6","18.2","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Ven 12","3","12.7","20.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Sab 13","8","10.6","24.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Dom 14","4","11.8","24.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 15","0","11.8","26.3","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Mar 16","0","14.4","27.1","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Mer 17","0","14.0","28.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 18","0","15.5","26.1","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Ven 19","8","14.7","21.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Sab 20","3","10.3","23.4","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Dom 21","0","10.2","27.3","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Lun 22","0","13.0","28.1","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mar 23","0","13.2","30.2","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mer 24","0","15.6","31.2","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Gio 25","0","17.2","27.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 26","0","17.4","28.0","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 27","0","17.0","29.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Dom 28","0","17.6","31.0","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 29","0","18.5","31.0","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mar 30","0","19.4","32.0","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mer 31","0","19.7","31.0","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
