"date","prec","tmin","tmax","bullet","color","um"
"Mar 1","34","11.9","17.1","https://www.3bmeteo.com/images/set_icone/9/7.png","#1461A1","mm"
"Mer 2","2","11.2","20.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Gio 3","0","10.3","22.4","https://www.3bmeteo.com/images/set_icone/9/41.png","#1461A1","mm"
"Ven 4","0","9.4","21.3","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 5","19","11.3","17.0","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Dom 6","11","11.4","17.2","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Lun 7","0","8.4","22.4","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mar 8","0","10.4","21.2","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Mer 9","0","11.7","22.1","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Gio 10","0","12.0","27.4","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Ven 11","0","14.2","29.1","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Sab 12","0","15.1","30.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Dom 13","7","11.3","17.7","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Lun 14","0","7.1","20.3","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Mar 15","2","8.2","22.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 16","0","11.8","20.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Gio 17","0","8.3","21.4","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Ven 18","0","9.9","20.2","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Sab 19","3","9.7","19.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 20","19","11.7","17.1","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Lun 21","64","11.0","14.0","https://www.3bmeteo.com/images/set_icone/9/7.png","#1461A1","mm"
"Mar 22","2","8.8","22.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 23","0","12.5","26.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 24","0","15.1","29.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Ven 25","5","15.1","26.2","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Sab 26","2","15.6","24.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 27","8","15.6","24.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 28","2","12.8","25.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 29","0","14.5","27.3","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 30","0","15.7","26.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 31","0","16.3","26.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
