"date","prec","tmin","tmax","bullet","color","um"
"Lun 1","4.5","13.5","18.2","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Mar 2","6.6","12.0","19.8","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 3","0","11.0","21.5","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 4","0","14.6","22.9","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Ven 5","0","13.2","26.0","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Sab 6","0","14.0","27.0","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Dom 7","0","17.0","27.0","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Lun 8","9.1","15.0","22.0","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 9","11.3","15.0","23.0","https://www.3bmeteo.com/images/set_icone/9/4.png","#1461A1","mm"
"Mer 10","23.4","13.0","15.6","https://www.3bmeteo.com/images/set_icone/9/54.png","#1461A1","mm"
"Gio 11","3.7","12.1","20.0","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Ven 12","12.8","12.1","16.0","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Sab 13","0","11.0","19.4","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Dom 14","9.4","12.3","20.0","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Lun 15","0","10.0","23.8","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mar 16","0.5","13.1","19.3","https://www.3bmeteo.com/images/set_icone/9/9.png","#1461A1","mm"
"Mer 17","1.5","13.6","19.0","https://www.3bmeteo.com/images/set_icone/9/9.png","#1461A1","mm"
"Gio 18","0","13.0","20.6","https://www.3bmeteo.com/images/set_icone/9/47.png","#1461A1","mm"
"Ven 19","6.3","13.6","17.4","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Sab 20","3.8","13.9","16.7","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Dom 21","1.6","15.0","26.0","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Lun 22","0","14.3","26.5","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mar 23","0","14.0","29.0","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 24","8.2","15.6","27.7","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Gio 25","0","15.9","25.7","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Ven 26","0","15.0","28.5","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Sab 27","0","18.0","26.2","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Dom 28","4","18.0","26.9","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 29","12.7","18.0","27.4","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mar 30","1.8","17.8","27.1","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Mer 31","5.9","17.0","25.8","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
