"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","1","13.1","20.3","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Sab 2","0","11.9","25.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Dom 3","0","14.9","22.7","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 4","0","14.3","25.4","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mar 5","0","15.4","24.5","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Mer 6","0","14.9","22.2","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Gio 7","0","12.6","23.6","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 8","0","13.9","26.6","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Sab 9","0","15.1","27.4","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Dom 10","4.7","15.6","24.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 11","30.6","14.8","19.1","https://www.3bmeteo.com/images/set_icone/9/54.png","#1461A1","mm"
"Mar 12","1.5","13.0","23.5","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Mer 13","8","13.1","17.5","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Gio 14","24.5","12.8","22.7","https://www.3bmeteo.com/images/set_icone/9/63.png","#1461A1","mm"
"Ven 15","61","13.7","20.7","https://www.3bmeteo.com/images/set_icone/9/63.png","#1461A1","mm"
"Sab 16","1","14.6","21.9","https://www.3bmeteo.com/images/set_icone/9/9.png","#1461A1","mm"
"Dom 17","8.3","15.1","24.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 18","1","17.1","26.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 19","15.3","17.1","24.5","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Mer 20","0","15.4","26.7","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 21","0","17.0","26.0","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 22","0","16.5","28.4","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Sab 23","15.7","18.6","27.8","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Dom 24","0","16.3","24.5","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Lun 25","0","16.2","26.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mar 26","0","16.4","24.8","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mer 27","0","14.8","24.9","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 28","0","14.7","25.9","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 29","0","15.1","22.7","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 30","3.9","13.8","23.6","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 31","3.5","14.1","23.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
