"date","prec","tmin","tmax","bullet","color","um"
"Sab 1","30.8","12.3","16.5","https://www.3bmeteo.com/images/set_icone/9/54.png","#1461A1","mm"
"Dom 2","2.4","11.5","21.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 3","0","10.0","18.9","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mar 4","0","9.9","20.9","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 5","0","11.5","21.0","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Gio 6","0","9.9","22.6","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Ven 7","0","13.1","25.3","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 8","0","12.4","20.4","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Dom 9","0","12.3","23.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Lun 10","4.1","14.9","23.0","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 11","27.7","12.9","17.0","https://www.3bmeteo.com/images/set_icone/9/54.png","#1461A1","mm"
"Mer 12","8.5","11.1","22.8","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Gio 13","6","13.3","22.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Ven 14","24","10.0","19.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 15","1.7","9.6","19.4","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Dom 16","1.6","12.0","17.3","https://www.3bmeteo.com/images/set_icone/9/9.png","#1461A1","mm"
"Lun 17","3.7","12.0","23.0","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 18","3.4","11.6","24.5","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 19","0","10.6","22.5","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Gio 20","0","11.2","23.9","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 21","2.1","12.8","22.8","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Sab 22","4.8","12.1","20.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 23","0","14.5","24.0","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Lun 24","30.6","12.8","16.8","https://www.3bmeteo.com/images/set_icone/9/54.png","#1461A1","mm"
"Mar 25","0","12.1","23.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 26","0","12.0","21.6","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 27","0","14.6","25.4","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 28","0","13.5","25.9","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Sab 29","2","15.8","25.6","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 30","2.3","15.4","24.1","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 31","1.5","15.5","23.6","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
