"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","0","13.0","21.0","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 2","0","10.8","22.0","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mar 3","5","12.3","22.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mer 4","9.5","13.2","21.2","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Gio 5","34.8","13.0","19.4","https://www.3bmeteo.com/images/set_icone/9/7.png","#1461A1","mm"
"Ven 6","32.7","13.0","15.0","https://www.3bmeteo.com/images/set_icone/9/54.png","#1461A1","mm"
"Sab 7","1.9","12.5","19.7","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Dom 8","1.3","13.1","21.4","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Lun 9","6.1","13.0","24.0","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Mar 10","0","15.0","27.0","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mer 11","0","15.0","28.0","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Gio 12","0","17.0","28.5","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Ven 13","0","16.3","27.6","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Sab 14","1.2","15.8","28.7","https://www.3bmeteo.com/images/set_icone/9/68.png","#1461A1","mm"
"Dom 15","0","17.3","29.3","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 16","0","18.0","30.3","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mar 17","0","18.2","30.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 18","0","20.5","28.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 19","0","18.6","28.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 20","0","17.1","30.3","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Sab 21","0","19.3","31.3","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Dom 22","0","20.4","28.2","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Lun 23","0","18.7","28.4","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mar 24","7.4","18.1","28.3","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Mer 25","0","16.6","25.2","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Gio 26","0","17.1","29.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Ven 27","0","19.3","30.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Sab 28","10.1","16.8","30.2","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Dom 29","6.9","14.0","20.5","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Lun 30","0","13.5","21.7","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Mar 31","0","16.4","24.5","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
