"date","prec","tmin","tmax","bullet","color","um"
"Gio 1","3","10.0","20.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Ven 2","0","7.7","22.8","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Sab 3","0","9.4","23.7","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Dom 4","0","11.6","23.7","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 5","0","12.1","22.4","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mar 6","0","7.7","22.7","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Mer 7","0","11.1","23.6","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 8","0","12.2","24.6","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Ven 9","0","10.9","25.7","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Sab 10","0","12.8","25.7","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Dom 11","0","11.1","22.7","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Lun 12","0","9.8","23.6","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mar 13","0","10.0","24.8","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mer 14","0","10.0","25.7","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Gio 15","5","12.2","22.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Ven 16","8","13.3","21.2","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Sab 17","31","14.8","17.0","https://www.3bmeteo.com/images/set_icone/9/54.png","#1461A1","mm"
"Dom 18","70","14.0","18.1","https://www.3bmeteo.com/images/set_icone/9/63.png","#1461A1","mm"
"Lun 19","0","11.3","21.4","https://www.3bmeteo.com/images/set_icone/9/47.png","#1461A1","mm"
"Mar 20","15","13.8","18.0","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Mer 21","5","12.3","22.4","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Gio 22","13","13.5","19.0","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Ven 23","0","12.4","23.3","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Sab 24","5","14.4","21.2","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Dom 25","3","15.6","20.0","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Lun 26","0","14.5","24.0","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Mar 27","0","15.8","27.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 28","0","15.6","26.1","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Gio 29","14","16.9","24.1","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Ven 30","19","15.3","23.3","https://www.3bmeteo.com/images/set_icone/9/7.png","#1461A1","mm"
"Sab 31","2","14.3","23.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
