"date","prec","tmin","tmax","bullet","color","um"
"Ven 1","0","6.4","25.0","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Sab 2","0","10.0","25.6","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Dom 3","0","10.6","23.7","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Lun 4","2","10.7","22.7","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 5","0","8.1","22.6","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 6","0","9.3","24.5","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Gio 7","0","8.3","25.7","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Ven 8","0","10.7","25.7","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Sab 9","0","11.6","23.2","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Dom 10","0","13.3","25.3","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Lun 11","0","11.8","25.4","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mar 12","0","13.4","26.3","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mer 13","0","14.7","26.3","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Gio 14","0","13.8","26.2","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Ven 15","8","14.9","19.0","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Sab 16","3","13.2","24.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 17","0","11.9","25.3","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Lun 18","0","14.1","26.4","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mar 19","0","13.1","27.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Mer 20","0","13.5","28.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Gio 21","0","16.4","30.3","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Ven 22","0","16.6","30.3","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Sab 23","0","15.8","31.3","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Dom 24","0","17.1","31.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Lun 25","0","18.2","33.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Mar 26","3","19.4","32.2","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Mer 27","0","15.8","28.3","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 28","0","13.8","27.4","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Ven 29","0","13.4","29.7","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Sab 30","0","11.6","24.4","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Dom 31","2","11.1","21.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
