"date","prec","tmin","tmax","bullet","color","um"
"Sab 1","2","13.3","21.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Dom 2","10","12.9","16.0","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Lun 3","9","10.6","19.4","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Mar 4","57","11.8","15.0","https://www.3bmeteo.com/images/set_icone/9/7.png","#1461A1","mm"
"Mer 5","43","10.1","16.1","https://www.3bmeteo.com/images/set_icone/9/7.png","#1461A1","mm"
"Gio 6","6","5.0","16.6","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Ven 7","10","7.3","16.2","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 8","0","8.0","18.3","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Dom 9","5","9.8","18.2","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Lun 10","11","11.5","17.1","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mar 11","20","12.0","17.2","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mer 12","27","11.7","17.1","https://www.3bmeteo.com/images/set_icone/9/54.png","#1461A1","mm"
"Gio 13","14","10.7","18.2","https://www.3bmeteo.com/images/set_icone/9/4.png","#1461A1","mm"
"Ven 14","22","10.5","18.2","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 15","0","9.4","20.4","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Dom 16","0","10.6","22.2","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Lun 17","0","11.3","23.5","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mar 18","0","9.7","23.4","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 19","3","11.5","19.1","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Gio 20","0","9.2","24.8","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Ven 21","0","11.4","25.4","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Sab 22","0","12.5","26.3","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Dom 23","0","12.3","27.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Lun 24","0","13.2","27.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Mar 25","0","15.0","27.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 26","0","14.4","26.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Gio 27","9","14.4","21.0","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Ven 28","0","11.7","24.4","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Sab 29","3","14.4","23.2","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Dom 30","0","14.7","26.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 31","0","14.7","27.3","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
