"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","25","9.0","12.2","https://www.3bmeteo.com/images/set_icone/9/54.png","#1461A1","mm"
"Lun 2","0","9.3","18.2","https://www.3bmeteo.com/images/set_icone/9/52.png","#1461A1","mm"
"Mar 3","0","8.3","24.5","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Mer 4","0","11.0","24.4","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Gio 5","0","11.0","20.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Ven 6","0","9.0","23.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Sab 7","0","10.6","23.3","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Dom 8","0","13.0","23.1","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Lun 9","18","13.0","18.0","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Mar 10","12","14.0","18.0","https://www.3bmeteo.com/images/set_icone/9/8.png","#1461A1","mm"
"Mer 11","46","13.9","16.0","https://www.3bmeteo.com/images/set_icone/9/54.png","#1461A1","mm"
"Gio 12","49","12.9","18.1","https://www.3bmeteo.com/images/set_icone/9/7.png","#1461A1","mm"
"Ven 13","8","11.7","19.1","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
"Sab 14","8","11.1","23.4","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Dom 15","0","10.8","22.3","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Lun 16","0","10.2","20.2","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mar 17","0","9.1","21.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 18","2","9.0","22.4","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Gio 19","46","11.0","15.2","https://www.3bmeteo.com/images/set_icone/9/7.png","#1461A1","mm"
"Ven 20","0","8.0","24.4","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Sab 21","0","12.1","27.3","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Dom 22","0","14.3","27.1","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Lun 23","27","13.2","19.6","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Mar 24","0","10.0","25.4","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mer 25","0","11.4","25.2","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Gio 26","0","12.4","27.2","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Ven 27","0","14.3","28.1","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Sab 28","0","16.7","29.1","https://www.3bmeteo.com/images/set_icone/9/2.png","#1461A1","mm"
"Dom 29","60","15.1","21.2","https://www.3bmeteo.com/images/set_icone/9/7.png","#1461A1","mm"
"Lun 30","68","14.7","21.0","https://www.3bmeteo.com/images/set_icone/9/63.png","#1461A1","mm"
"Mar 31","22.1","14.1","22.3","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
