"date","prec","tmin","tmax","bullet","color","um"
"Dom 1","0","9.4","22.5","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Lun 2","2","11.4","22.5","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Mar 3","0","11.5","23.4","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Mer 4","3","11.7","20.1","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Gio 5","0","10.1","21.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Ven 6","0","10.2","22.3","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Sab 7","0","10.4","23.5","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Dom 8","0","11.3","26.3","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 9","0","12.1","21.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mar 10","0","10.5","24.3","https://www.3bmeteo.com/images/set_icone/9/51.png","#1461A1","mm"
"Mer 11","0","11.3","27.5","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Gio 12","0","13.8","27.4","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Ven 13","2","14.3","27.3","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Sab 14","11","13.2","24.1","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Dom 15","9","12.9","19.2","https://www.3bmeteo.com/images/set_icone/9/3.png","#1461A1","mm"
"Lun 16","0","7.1","24.6","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mar 17","0","10.2","24.3","https://www.3bmeteo.com/images/set_icone/9/50.png","#1461A1","mm"
"Mer 18","0","13.8","25.1","https://www.3bmeteo.com/images/set_icone/9/45.png","#1461A1","mm"
"Gio 19","0","13.1","26.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Ven 20","0","13.4","28.2","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Sab 21","0","14.1","29.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Dom 22","0","14.7","29.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Lun 23","0","16.5","31.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mar 24","0","18.4","31.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mer 25","0","18.6","31.1","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Gio 26","5","19.2","29.2","https://www.3bmeteo.com/images/set_icone/9/28.png","#1461A1","mm"
"Ven 27","18","16.4","23.1","https://www.3bmeteo.com/images/set_icone/9/5.png","#1461A1","mm"
"Sab 28","0","11.5","25.1","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Dom 29","0","11.1","27.3","https://www.3bmeteo.com/images/set_icone/9/1.png","#1461A1","mm"
"Lun 30","0","14.3","28.2","https://www.3bmeteo.com/images/set_icone/9/44.png","#1461A1","mm"
"Mar 31","5","15.1","25.1","https://www.3bmeteo.com/images/set_icone/9/10.png","#1461A1","mm"
